id;username;password;role;riwayat_penyakit;suhu_tubuh;tekanan_darah_sistolik;tekanan_darah_diastolik;detak_jantung;saturasi_oksigen;kadar_gula_darah;berat_badan;tinggi_badan;kadar_kolesterol;trombosit
10;neronimo;pass1010;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0
11;ciciko;pass1111;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0
12;cacako;pass1212;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0
13;kroket;pass1313;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0
15;risol;pass1515;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0
88;zeru;pass77;manager;;0.00;0;0;0;0.00;0;0.00;0;0;0
1;stewart;pass11;pasien;;36.10;92;77;66;93.70;127;52.40;177;193;328
7;tuart;paturrt;pasien;;36.10;92;77;66;93.70;127;52.40;177;193;328
2;gro;pass22;pasien;COVID-19;36.60;126;85;67;96.50;175;45.70;156;235;212
3;kebin;pass33;pasien;;36.40;96;68;94;92.30;162;64.10;158;240;380
6;nikeb;pnikeb;pasien;;36.40;96;68;94;92.30;162;64.10;158;240;380
4;pop;pass44;pasien;Diabetes Mellitus;36.90;110;85;73;98.70;152;62.80;157;184;390
8;minonette;pass88;pasien;;36.70;93;87;63;97.80;136;77.00;172;227;380
9;tobo;pass99;pasien;;36.80;114;74;61;94.60;100;80.60;173;152;386
24;ropik;pass240;pasien;;36.20;103;87;65;96.60;102;72.30;184;150;292
5;opor;oporkanajala;pasien;;36.20;103;87;65;96.60;102;72.30;184;150;292
16;tobokan;pass1234;pasien;;36.80;114;74;61;94.60;100;80.60;173;152;386
20;popokan;passpopokan;pasien;;36.90;110;85;73;98.70;152;62.80;157;184;390
100;pendatang;pendatangbaru;pasien;;0.00;0;0;0;0.00;0;0.00;0;0;0
101;a;a;pasien;;0.00;0;0;0;0.00;0;0.00;0;0;0
102;b;b;pasien;;0.00;0;0;0;0.00;0;0.00;0;0;0
