id;username;password;role;riwayat_penyakit;suhu_tubuh;tekanan_darah_sistolik;tekanan_darah_diastolik;detak_jantung;saturasi_oksigen;kadar_gula_darah;berat_badan;tinggi_badan;kadar_kolesterol;kadar_kolesterol_ldl;trombosit
1;neronimo;pass1010;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0;0
2;ciciko;pass1111;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0;0
3;cacako;pass1212;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0;0
4;kroket;pass1313;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0;0
5;risol;pass1515;dokter;;0.00;0;0;0;0.00;0;0.00;0;0;0;0
6;zeru;pass77;manager;;0.00;0;0;0;0.00;0;0.00;0;0;0;0
7;stewart;pass11;pasien;;36.10;92;77;66;93.70;127;52.40;177;193;328;0
8;tuart;paturrt;pasien;;36.10;92;77;66;93.70;127;52.40;177;193;328;0
9;gro;pass22;pasien;COVID-19;36.60;126;85;67;96.50;175;45.70;156;235;212;0
10;kebin;pass33;pasien;;36.40;96;68;94;92.30;162;64.10;158;240;380;0
11;nikeb;pnikeb;pasien;;36.40;96;68;94;92.30;162;64.10;158;240;380;0
12;pop;pass44;pasien;Diabetes Mellitus;36.90;110;85;73;98.70;152;62.80;157;184;390;0
13;minonette;pass88;pasien;;36.70;93;87;63;97.80;136;77.00;172;227;380;0
14;tobo;pass99;pasien;;36.80;114;74;61;94.60;100;80.60;173;152;386;0
15;ropik;pass240;pasien;;36.20;103;87;65;96.60;102;72.30;184;150;292;0
16;opor;oporkanajala;pasien;;36.20;103;87;65;96.60;102;72.30;184;150;292;0
17;tobokan;pass1234;pasien;;36.80;114;74;61;94.60;100;80.60;173;152;386;0
18;popokan;passpopokan;pasien;;36.90;110;85;73;98.70;152;62.80;157;184;390;0
19;pendatang;pendatangbaru;pasien;;0.00;0;0;0;0.00;0;0.00;0;0;0;0
